POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
75,"Deepak Hooda
LSG",3,3,0,44,26,14.67,36,122.22,0,0,3,2
76,"Sikandar Raza
PBKS",2,2,0,43,28,21.50,38,113.15,0,0,2,2
77,"MS Dhoni
CSK",5,3,3,39,37*,-,21,185.71,0,0,4,3
78,"Glenn Maxwell
RCB",6,6,0,32,28,5.33,34,94.11,0,0,3,1
79,"Rahul Tripathi
SRH",2,2,0,31,20,15.50,34,91.17,0,0,1,1
80,"Rashid Khan
GT",6,4,2,29,24*,14.50,19,152.63,0,0,4,0
81,"Azmatullah Omarzai
GT",4,2,0,28,17,14.00,21,133.33,0,0,2,1
82,"Kane Williamson
GT",2,2,0,27,26,13.50,27,100.00,0,0,4,0
83,"Arshad Khan
LSG",2,2,1,25,20*,25.00,20,125.00,0,0,3,0
84,"Devdutt Padikkal
LSG",5,5,0,25,9,5.00,33,75.75,0,0,3,0
85,"Tanush Kotian
RR",1,1,0,24,24,24.00,31,77.41,0,0,3,0
86,"Saurav Chauhan
RCB",2,2,0,18,9,9.00,14,128.57,0,0,1,1
87,"Atharva Taide
PBKS",1,1,0,15,15,15.00,12,125.00,0,0,2,0
88,"Sameer Rizwi
CSK",4,2,0,14,14,7.00,7,200.00,0,0,0,2
89,"Shahrukh Khan
GT",1,1,0,14,14,14.00,8,175.00,0,0,1,1
90,"Mohammed Siraj
RCB",6,1,0,12,12,12.00,8,150.00,0,0,0,2
91,"Darshan Nalkande
GT",3,1,0,12,12,12.00,11,109.09,0,0,0,1
92,"Umesh Yadav
GT",6,2,1,12,10*,12.00,15,80.00,0,0,0,1
93,"Rovman Powell
RR",1,1,0,11,11,11.00,5,220.00,0,0,2,0
94,"Jasprit Bumrah
MI",5,2,2,9,8*,-,10,90.00,0,0,1,0
95,"Nitish Rana
KKR",1,1,0,9,9,9.00,11,81.81,0,0,1,0
96,"Sumit Kumar
DC",3,2,0,9,7,4.50,15,60.00,0,0,0,1
97,"Shubham Dubey
RR",2,1,1,8,8*,-,6,133.33,0,0,1,0
98,"Will Jacks
RCB",1,1,0,8,8,8.00,6,133.33,0,0,2,0
99,"Harpreet Brar
PBKS",6,4,4,8,3*,-,9,88.88,0,0,0,0
100,"Mitchell Starc
KKR",5,3,2,7,6*,7.00,7,100.00,0,0,1,0
101,"Jaydev Unadkat
SRH",4,1,1,6,6*,-,1,600.00,0,0,0,1
102,"Bhuvneshwar Kumar
SRH",5,1,0,6,6,6.00,8,75.00,0,0,0,0
103,"Spencer Johnson
GT",4,2,2,5,5*,-,6,83.33,0,0,1,0
104,"Pat Cummins
SRH",5,3,2,5,3,5.00,7,71.42,0,0,0,0
105,"Gerald Coetzee
MI",5,2,0,5,4,2.50,12,41.66,0,0,0,0
106,"Noor Ahmad
GT",4,2,1,4,4,4.00,2,200.00,0,0,1,0
107,"Akash Madhwal
MI",3,1,1,4,4*,-,5,80.00,0,0,0,0
108,"Anrich Nortje
DC",4,1,0,4,4,4.00,6,66.66,0,0,0,0
109,"Matthew Wade
GT",1,1,0,4,4,4.00,6,66.66,0,0,0,0
110,"Anukul Roy
KKR",2,1,1,3,3*,-,3,100.00,0,0,0,0
111,"Lalit Yadav
DC",1,1,0,3,3,3.00,4,75.00,0,0,0,0
112,"Reece Topley
RCB",3,1,1,3,3*,-,6,50.00,0,0,0,0
113,"Piyush Chawla
MI",4,2,0,3,3,1.50,7,42.85,0,0,0,0
114,"Ricky Bhui
DC",2,2,0,3,3,1.50,9,33.33,0,0,0,0
115,"Mohsin Khan
LSG",3,1,0,2,2,2.00,1,200.00,0,0,0,0
116,"Jhye Richardson
DC",1,1,0,2,2,2.00,2,100.00,0,0,0,0
117,"Akash Deep
RCB",1,1,1,2,2*,-,2,100.00,0,0,0,0
118,"B R Sharath
GT",1,1,0,2,2,2.00,5,40.00,0,0,0,0
119,"Vaibhav Arora
KKR",3,1,1,1,1*,-,1,100.00,0,0,0,0
120,"Shams Mulani
MI",2,1,1,1,1*,-,1,100.00,0,0,0,0
121,"Marco Jansen
SRH",1,1,1,1,1*,-,1,100.00,0,0,0,0
122,"Kuldeep Yadav
DC",3,1,0,1,1,1.00,2,50.00,0,0,0,0
123,"Keshav Maharaj
RR",2,1,0,1,1,1.00,2,50.00,0,0,0,0
124,"Abhinav Manohar
GT",1,1,0,1,1,1.00,2,50.00,0,0,0,0
125,"Ishant Sharma
DC",5,1,1,1,1*,-,3,33.33,0,0,0,0
126,"Rasikh Salam
DC",2,1,0,1,1,1.00,5,20.00,0,0,0,0
